DATAFLOW,LAST UPDATE,freq,unit,age,icd10,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EE,2014,50.1,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EE,2015,46.07,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EE,2016,46.24,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EE,2017,43.11,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EE,2018,41.9,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EE,2019,39.32,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EE,2020,45.31,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EE,2021,51.32,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EL,2011,22.9,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EL,2012,22.52,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EL,2013,22.71,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EL,2014,19.34,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EL,2015,23.62,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EL,2016,24.45,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EL,2017,26.44,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EL,2018,26.43,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EL,2019,26.35,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EL,2020,28.12,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,EL,2021,29.52,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,ES,2011,22.22,
ESTAT:TPS00125(1.0),25/04/24 23:00:00,A,RT,TOTAL,ACC,T,ES,2012,20.64,
